"entidad","entidad_ascii","distrito","coalicion","grupo_parlamentario","partido_origen"
"VERACRUZ","VERACRUZ",18,"JUNTOS HAREMOS HISTORIA","PES",\N
"VERACRUZ","VERACRUZ",18,"POR MEXICO AL FRENTE","PRD",\N
"VERACRUZ","VERACRUZ",19,"POR MEXICO AL FRENTE","PRD",\N
"VERACRUZ","VERACRUZ",20,"JUNTOS HAREMOS HISTORIA","PT",\N
"VERACRUZ","VERACRUZ",20,"POR MEXICO AL FRENTE","PAN",\N
"YUCATÁN","YUCATAN",1,"JUNTOS HAREMOS HISTORIA","PES",\N
"YUCATÁN","YUCATAN",1,"POR MEXICO AL FRENTE","PAN",\N
"YUCATÁN","YUCATAN",2,"JUNTOS HAREMOS HISTORIA","MORENA",\N
"YUCATÁN","YUCATAN",2,"POR MEXICO AL FRENTE","PAN",\N
"YUCATÁN","YUCATAN",3,"JUNTOS HAREMOS HISTORIA","MORENA",\N
"YUCATÁN","YUCATAN",3,"POR MEXICO AL FRENTE","PAN",\N
"YUCATÁN","YUCATAN",4,"JUNTOS HAREMOS HISTORIA","MORENA",\N
"YUCATÁN","YUCATAN",4,"POR MEXICO AL FRENTE","PAN",\N
"YUCATÁN","YUCATAN",5,"JUNTOS HAREMOS HISTORIA","PT",\N
"YUCATÁN","YUCATAN",5,"POR MEXICO AL FRENTE","PRD",\N
"ZACATECA S","ZACATECA S",2,"JUNTOS HAREMOS HISTORIA","MORENA",\N
"ZACATECAS","ZACATECAS",1,"JUNTOS HAREMOS HISTORIA","PES",\N
"ZACATECAS","ZACATECAS",1,"POR MEXICO AL FRENTE","PRD",\N
"ZACATECAS","ZACATECAS",2,"POR MEXICO AL FRENTE","PAN",\N
"ZACATECAS","ZACATECAS",3,"JUNTOS HAREMOS HISTORIA","PT",\N
"ZACATECAS","ZACATECAS",3,"POR MEXICO AL FRENTE","PRD",\N
"ZACATECAS","ZACATECAS",4,"JUNTOS HAREMOS HISTORIA","PT",\N
"ZACATECAS","ZACATECAS",4,"POR MEXICO AL FRENTE","MC",\N
